column_name,role,data_type,nullable,source_field,question_id,question_type,applicable_categories,allowed_values,missing_meaning,description
answer__can_illegal_or_recreational_drugs_be_referred_to_through_e887484f,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],can_illegal_or_recreational_drugs_be_referred_to_through_e887484f,radio,All Other App Types,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Can illegal or recreational drugs be referred to through text or spoken about?
answer__can_innocent_or_defenseless_characters_be_seriously_inju_2f1f1e8b,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],can_innocent_or_defenseless_characters_be_seriously_inju_2f1f1e8b,radio,All Other App Types || Game,"No || Yes, with penalties || Yes, without penalties || __INACTIVE__ || __NOT_APPLICABLE__",__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Can innocent or defenseless characters be seriously injured or killed?
answer__can_interactions_in_the_app_be_limited_to_invited_friend_eceecc3d,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],can_interactions_in_the_app_be_limited_to_invited_friend_eceecc3d,radio,All Other App Types || Social or Communication,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Can interactions in the app be limited to invited friends only?
answer__can_interactions_in_the_game_be_limited_to_invited_frien_88ea2f62,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],can_interactions_in_the_game_be_limited_to_invited_frien_88ea2f62,radio,Game,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Can interactions in the game be limited to invited friends only?
answer__can_playing_these_bingo_games_reward_cash_payouts_or_rew_07fc306a,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],can_playing_these_bingo_games_reward_cash_payouts_or_rew_07fc306a,radio,All Other App Types || Game,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Can playing these bingo games reward cash payouts or rewards of significant monetary value?
answer__can_playing_these_casino_games_lotteries_or_racetrack_be_1b84b6e2,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],can_playing_these_casino_games_lotteries_or_racetrack_be_1b84b6e2,radio,All Other App Types || Game,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,"Can playing these casino games, lotteries, or racetrack betting games reward cash payouts or rewards of significant monetary value?"
answer__can_the_app_contain_any_potentially_offensive_language_p_f3fe3d35,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],can_the_app_contain_any_potentially_offensive_language_p_f3fe3d35,radio,All Other App Types,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Can the app contain any potentially offensive language? Please note that this does not refer to user-generated content.
answer__can_the_app_contain_discriminatory_language_7368f4f4,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],can_the_app_contain_discriminatory_language_7368f4f4,radio,All Other App Types,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Can the app contain discriminatory language?
answer__can_the_app_contain_minor_profanities_e_g_go_to_hell_4b2bd815,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],can_the_app_contain_minor_profanities_e_g_go_to_hell_4b2bd815,radio,All Other App Types,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,"Can the app contain minor profanities (e.g., ""go to hell"")?"
answer__can_the_app_contain_moderate_swearing_or_other_language__cdc1565c,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],can_the_app_contain_moderate_swearing_or_other_language__cdc1565c,radio,All Other App Types,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Can the app contain moderate swearing or other language that could be considered moderately or significantly offensive?
answer__can_the_app_contain_references_to_or_depictions_of_illeg_387441a4,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],can_the_app_contain_references_to_or_depictions_of_illeg_387441a4,radio,All Other App Types,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,"Can the app contain references to or depictions of illegal or recreational drugs? Content that sellers create as part of the app catalog needs to be considered; however, this question does not refer to user-generated content (e.g., comments and reviews)."
answer__can_the_app_contain_sexual_expletives_b9c51086,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],can_the_app_contain_sexual_expletives_b9c51086,radio,All Other App Types,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Can the app contain sexual expletives?
answer__can_the_app_contain_sexual_material_or_nudity_except_in__ccdb3618,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],can_the_app_contain_sexual_material_or_nudity_except_in__ccdb3618,radio,All Other App Types,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,"Can the app contain sexual material or nudity (except in a natural or scientific setting)? Content that sellers create as part of the app catalog needs to be considered; however, this question does not refer to user-generated content (e.g., comments and reviews)."
answer__can_the_app_contain_violent_material_content_that_seller_42d20972,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],can_the_app_contain_violent_material_content_that_seller_42d20972,radio,All Other App Types,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,"Can the app contain violent material? Content that sellers create as part of the app catalog needs to be considered; however, this question does not refer to user-generated content (e.g., comments and reviews)."
answer__can_the_player_ever_use_alcohol_in_a_first_person_perspe_4e53d7c8,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],can_the_player_ever_use_alcohol_in_a_first_person_perspe_4e53d7c8,radio,Game,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Can the player ever use alcohol in a first-person perspective?
answer__can_the_player_ever_use_tobacco_in_a_first_person_perspe_929a7633,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],can_the_player_ever_use_tobacco_in_a_first_person_perspe_929a7633,radio,Game,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Can the player ever use tobacco in a first-person perspective?
answer__can_the_user_ever_use_alcohol_in_a_first_person_perspect_ffd9c98e,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],can_the_user_ever_use_alcohol_in_a_first_person_perspect_ffd9c98e,radio,All Other App Types,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Can the user ever use alcohol in a first-person perspective?
answer__can_the_user_ever_use_tobacco_in_a_first_person_perspect_b682c1a1,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],can_the_user_ever_use_tobacco_in_a_first_person_perspect_b682c1a1,radio,All Other App Types,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Can the user ever use tobacco in a first-person perspective?
answer__can_these_purchases_include_random_items_where_the_purch_cfc20feb,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],can_these_purchases_include_random_items_where_the_purch_cfc20feb,radio,All Other App Types || Game || Social or Communication,No || Yes || __INACTIVE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,"Can these purchases include random items where the purchaser doesn't know what specific items or features they will receive (e.g., loot boxes), the purchase of items that will be used to create or unlock an unknown item or feature (e.g., a key to unlock a loot box, material used to craft a random item), items that can improve the rate of earning random items (e.g., random drop boosts), or any other chance-based purchases?"
answer__can_these_sexual_images_be_pornographic_dbe74343,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],can_these_sexual_images_be_pornographic_dbe74343,radio,All Other App Types,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Can these sexual images be pornographic?
answer__can_these_sexual_images_depict_nudity_62b6c6d4,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],can_these_sexual_images_depict_nudity_62b6c6d4,radio,All Other App Types,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Can these sexual images depict nudity?
answer__can_these_violent_images_be_gross_or_gory_a3d431d0,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],can_these_violent_images_be_gross_or_gory_a3d431d0,radio,All Other App Types,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Can these violent images be gross or gory?
answer__can_this_app_contain_visual_depictions_of_illegal_or_rec_3788a7dc,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],can_this_app_contain_visual_depictions_of_illegal_or_rec_3788a7dc,radio,All Other App Types,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Can this app contain visual depictions of illegal or recreational drugs?
answer__can_this_sexual_material_be_referred_to_through_text_or__cef4ac8f,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],can_this_sexual_material_be_referred_to_through_text_or__cef4ac8f,radio,All Other App Types,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Can this sexual material be referred to through text or spoken about?
answer__can_this_sexual_material_be_visually_depicted_047f6e7c,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],can_this_sexual_material_be_visually_depicted_047f6e7c,radio,All Other App Types,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Can this sexual material be visually depicted?
answer__can_this_violent_material_be_referred_to_through_text_or_337488ea,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],can_this_violent_material_be_referred_to_through_text_or_337488ea,radio,All Other App Types,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Can this violent material be referred to through text or spoken about?
answer__can_this_violent_material_be_visually_depicted_9f0796c7,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],can_this_violent_material_be_visually_depicted_9f0796c7,radio,All Other App Types,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Can this violent material be visually depicted?
answer__do_any_of_these_creatures_behave_or_respond_like_humans_bd1de18a,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],do_any_of_these_creatures_behave_or_respond_like_humans_bd1de18a,radio,All Other App Types || Game,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Do any of these creatures behave or respond like humans?
answer__do_any_of_these_sex_acts_feature_characters_that_appear__36d02e50,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],do_any_of_these_sex_acts_feature_characters_that_appear__36d02e50,radio,All Other App Types || Game,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Do any of these sex acts feature characters that appear to be younger than 18?
answer__do_these_outfits_ever_appear_to_be_out_of_place_such_as__6f8c32b5,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],do_these_outfits_ever_appear_to_be_out_of_place_such_as__6f8c32b5,radio,All Other App Types || Game,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,"Do these outfits ever appear to be out-of-place, such as a bikini worn on the battlefield or solely wearing undergarments in public?"
answer__does_the_app_allow_users_to_purchase_digital_goods_43ad2835,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_app_allow_users_to_purchase_digital_goods_43ad2835,radio,All Other App Types || Social or Communication,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Does the app allow users to purchase digital goods?
answer__does_the_app_contain_an_integrated_marketplace_for_these_6e119982,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_app_contain_an_integrated_marketplace_for_these_6e119982,radio,All Other App Types,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Does the app contain an integrated marketplace for these assets or promote/feature a particular marketplace for these assets?
answer__does_the_app_contain_any_bodily_functions_such_as_belchi_967792bd,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_app_contain_any_bodily_functions_such_as_belchi_967792bd,radio,All Other App Types,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,"Does the app contain any bodily functions such as belching, flatulence, or vomiting when used for humorous purposes?"
answer__does_the_app_contain_any_potentially_offensive_language_b4cfa138,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_app_contain_any_potentially_offensive_language_b4cfa138,radio,All Other App Types,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Does the app contain any potentially offensive language?
answer__does_the_app_contain_any_ratings_relevant_content_e_g_se_1bdb46b7,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_app_contain_any_ratings_relevant_content_e_g_se_1bdb46b7,radio,All Other App Types,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,"Does the app contain any ratings-relevant content (e.g., sex, violence, language) downloaded as part of the app package (code, assets)?"
answer__does_the_app_contain_any_reference_to_or_use_of_drugs_al_2098b4f8,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_app_contain_any_reference_to_or_use_of_drugs_al_2098b4f8,radio,All Other App Types,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,"Does the app contain any reference to or use of drugs, alcohol, or tobacco?"
answer__does_the_app_contain_gambling_simulations_of_casino_gamb_e4e21264,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_app_contain_gambling_simulations_of_casino_gamb_e4e21264,radio,All Other App Types,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,"Does the app contain gambling, simulations of casino gambling/bingo, or gambling themes?"
answer__does_the_app_contain_inferences_of_references_to_or_depi_00223f58,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_app_contain_inferences_of_references_to_or_depi_00223f58,radio,All Other App Types,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,"Does the app contain inferences of, references to, or depictions of sexuality, sexual violence, suggestiveness, revealing attire, or nudity?"
answer__does_the_app_contain_inferences_of_references_to_or_depi_23169d75,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_app_contain_inferences_of_references_to_or_depi_23169d75,radio,All Other App Types,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,"Does the app contain inferences of, references to, or depictions of violence, blood, or gory images?"
answer__does_the_app_contain_pictures_or_sounds_likely_to_be_sca_dbbee0fa,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_app_contain_pictures_or_sounds_likely_to_be_sca_dbbee0fa,radio,All Other App Types,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Does the app contain pictures or sounds likely to be scary or horrifying?
answer__does_the_app_feature_or_promote_content_that_isn_t_part__94fe8720,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_app_feature_or_promote_content_that_isn_t_part__94fe8720,radio,All Other App Types,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,"Does the app feature or promote content that isn't part of the initial app download, but can be accessed from the app? Examples of this type of content are movies in the Netflix app, product listings in the Amazon Shopping app, songs in the Spotify app, generated AI content, or news articles in the New York Times app."
answer__does_the_app_focus_on_promoting_or_selling_items_or_acti_fb2a4b57,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_app_focus_on_promoting_or_selling_items_or_acti_fb2a4b57,radio,All Other App Types,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,"Does the app focus on promoting or selling items or activities that are typically age-restricted such as cigarettes, alcohol, firearms, or gambling?"
answer__does_the_app_have_a_pixelated_or_childlike_style_2122fb74,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_app_have_a_pixelated_or_childlike_style_2122fb74,radio,All Other App Types,"No || Yes, it has a childlike style (e.g., likely to appeal to younger children) || Yes, it has a pixelated style || __INACTIVE__ || __NOT_APPLICABLE__",__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Does the app have a pixelated or childlike style?
answer__does_the_app_have_a_pixelated_or_childlike_style_88e77522,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_app_have_a_pixelated_or_childlike_style_88e77522,radio,All Other App Types,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Does the app have a pixelated or childlike style?
answer__does_the_app_include_cash_rewards_gift_cards_play_to_ear_39e41173,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_app_include_cash_rewards_gift_cards_play_to_ear_39e41173,radio,All Other App Types,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,"Does the app include cash rewards, gift cards, play-to-earn features, convertible cryptocurrency rewards, or the issuance of transferable digital assets (e.g., NFTs)?"
answer__does_the_app_include_chat_moderation_cc9ff2ca,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_app_include_chat_moderation_cc9ff2ca,radio,All Other App Types || Social or Communication,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Does the app include chat moderation?
answer__does_the_app_include_the_ability_or_requirement_to_make__638d2bc0,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_app_include_the_ability_or_requirement_to_make__638d2bc0,radio,All Other App Types,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Does the app include the ability or requirement to make any purchases related to the issuance or earning of these digital assets?
answer__does_the_app_include_the_ability_or_requirement_to_wager_42ff0adb,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_app_include_the_ability_or_requirement_to_wager_42ff0adb,radio,All Other App Types,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,"Does the app include the ability or requirement to wager, purchase entrance fees, additional chances to win, or any other purchases potentially related to winning cash payouts or rewards of significant monetary value from these bingo games?"
answer__does_the_app_include_the_ability_or_requirement_to_wager_a234c2e8,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_app_include_the_ability_or_requirement_to_wager_a234c2e8,radio,All Other App Types,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,"Does the app include the ability or requirement to wager, purchase entrance fees, additional chances to win, or any other purchases potentially related to winning cash payouts or rewards of significant monetary value?"
answer__does_the_app_include_the_ability_or_requirement_to_wager_fdd45537,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_app_include_the_ability_or_requirement_to_wager_fdd45537,radio,All Other App Types,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,"Does the app include the ability or requirement to wager, purchase entrance fees, additional chances to win, or any other purchases potentially related to winning cash payouts or rewards of significant monetary value from these casino games, lotteries, or racetrack betting games?"
answer__does_the_app_include_the_ability_to_block_users_or_user__e8935808,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_app_include_the_ability_to_block_users_or_user__e8935808,radio,All Other App Types || Social or Communication,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Does the app include the ability to block users or user-generated content?
answer__does_the_app_include_the_ability_to_report_users_or_user_04c5c153,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_app_include_the_ability_to_report_users_or_user_04c5c153,radio,All Other App Types || Social or Communication,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Does the app include the ability to report users or user-generated content?
answer__does_the_app_natively_allow_users_to_interact_or_exchang_0814bcf5,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_app_natively_allow_users_to_interact_or_exchang_0814bcf5,radio,All Other App Types,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,"Does the app natively allow users to interact or exchange content with other users through voice communication, text, or sharing images or audio?"
answer__does_the_app_permit_the_public_sharing_of_nudity_54ca8431,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_app_permit_the_public_sharing_of_nudity_54ca8431,radio,All Other App Types || Social or Communication,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Does the app permit the public sharing of nudity?
