sample_id,split,category,territory,authority,rating_label,content_descriptors,interactive_elements,warning
all_other_app_types_balanced_00010,train,All Other App Types,Europe,Pan-European Game Information (PEGI),PEGI 7,Fear,,
all_other_app_types_balanced_00010,train,All Other App Types,Germany,Unterhaltungssoftware Selbstkontrolle (USK),USK: Ages 12+,Dark Atmosphere,,
all_other_app_types_balanced_00010,train,All Other App Types,Rest of world,IARC Generic,Rated for 7+,Fear,,
all_other_app_types_balanced_00010,train,All Other App Types,Russia,Google Play,Rated for 7+,Fear,,
all_other_app_types_balanced_00010,train,All Other App Types,South Korea,Google Play,Rated for 7+,Fear,,"Games that aren't suitable for users under 19 may be removed from Google Play in South Korea, unless they're rated by GRAC."
all_other_app_types_balanced_00011,train,All Other App Types,Brazil,Classificação Indicativa (ClassInd),Rated 12+,Fear,,
all_other_app_types_balanced_00011,train,All Other App Types,North America,Entertainment Software Rating Board (ESRB),Teen,Mild Violence,,
all_other_app_types_balanced_00011,train,All Other App Types,Europe,Pan-European Game Information (PEGI),PEGI 12,Horror,,
all_other_app_types_balanced_00011,train,All Other App Types,Germany,Unterhaltungssoftware Selbstkontrolle (USK),USK: Ages 12+,Dark Atmosphere,,
all_other_app_types_balanced_00011,train,All Other App Types,Rest of world,IARC Generic,Rated for 12+,Horror,,
all_other_app_types_balanced_00011,train,All Other App Types,Russia,Google Play,Rated for 12+,Horror,,
all_other_app_types_balanced_00011,train,All Other App Types,South Korea,Google Play,Rated for 12+,Horror,,"Games that aren't suitable for users under 19 may be removed from Google Play in South Korea, unless they're rated by GRAC."
all_other_app_types_balanced_00012,train,All Other App Types,Brazil,Classificação Indicativa (ClassInd),Rated 12+,Fear,,
all_other_app_types_balanced_00012,train,All Other App Types,North America,Entertainment Software Rating Board (ESRB),Teen,Violence,,
all_other_app_types_balanced_00012,train,All Other App Types,Europe,Pan-European Game Information (PEGI),PEGI 12,Horror,,
all_other_app_types_balanced_00012,train,All Other App Types,Germany,Unterhaltungssoftware Selbstkontrolle (USK),USK: Ages 16+,Horror,,
all_other_app_types_balanced_00012,train,All Other App Types,Rest of world,IARC Generic,Rated for 12+,Horror,,
all_other_app_types_balanced_00012,train,All Other App Types,Russia,Google Play,Rated for 12+,Horror,,
all_other_app_types_balanced_00012,train,All Other App Types,South Korea,Google Play,Rated for 12+,Horror,,"Games that aren't suitable for users under 19 may be removed from Google Play in South Korea, unless they're rated by GRAC."
all_other_app_types_balanced_00013,train,All Other App Types,Brazil,Classificação Indicativa (ClassInd),Rated 12+,Fear,,
all_other_app_types_balanced_00013,train,All Other App Types,North America,Entertainment Software Rating Board (ESRB),Teen,Violence,,
all_other_app_types_balanced_00013,train,All Other App Types,Europe,Pan-European Game Information (PEGI),PEGI 16,Horror,,
all_other_app_types_balanced_00013,train,All Other App Types,Germany,Unterhaltungssoftware Selbstkontrolle (USK),USK: Ages 16+,Horror,,
all_other_app_types_balanced_00013,train,All Other App Types,Rest of world,IARC Generic,Rated for 16+,Horror,,
all_other_app_types_balanced_00013,train,All Other App Types,Russia,Google Play,Rated for 16+,Horror,,
all_other_app_types_balanced_00013,train,All Other App Types,South Korea,Google Play,Rated for 16+,Horror,,"Games that aren't suitable for users under 19 may be removed from Google Play in South Korea, unless they're rated by GRAC."
all_other_app_types_balanced_00014,test,All Other App Types,Brazil,Classificação Indicativa (ClassInd),Rated 10+,Sexual Content,,
all_other_app_types_balanced_00014,test,All Other App Types,North America,Entertainment Software Rating Board (ESRB),Teen,Suggestive Themes,,
all_other_app_types_balanced_00014,test,All Other App Types,Europe,Pan-European Game Information (PEGI),PEGI 12,Sexual Innuendo,,
all_other_app_types_balanced_00014,test,All Other App Types,Germany,Unterhaltungssoftware Selbstkontrolle (USK),USK: Ages 12+,Sexual Innuendo,,
all_other_app_types_balanced_00014,test,All Other App Types,Rest of world,IARC Generic,Rated for 12+,Sexual Innuendo,,
all_other_app_types_balanced_00014,test,All Other App Types,Russia,Google Play,Rated for 12+,Sexual Innuendo,,
all_other_app_types_balanced_00014,test,All Other App Types,South Korea,Google Play,Rated for 12+,Sexual Innuendo,,"Games that aren't suitable for users under 19 may be removed from Google Play in South Korea, unless they're rated by GRAC."
all_other_app_types_balanced_00015,train,All Other App Types,Brazil,Classificação Indicativa (ClassInd),Rated 12+,Sexual Content,,
all_other_app_types_balanced_00015,train,All Other App Types,North America,Entertainment Software Rating Board (ESRB),Teen,Sexual Themes,,
all_other_app_types_balanced_00015,train,All Other App Types,Europe,Pan-European Game Information (PEGI),PEGI 12,Sexual Innuendo,,
all_other_app_types_balanced_00015,train,All Other App Types,Germany,Unterhaltungssoftware Selbstkontrolle (USK),USK: Ages 16+,Sexual Innuendo,,
all_other_app_types_balanced_00015,train,All Other App Types,Rest of world,IARC Generic,Rated for 12+,Sexual Innuendo,,
all_other_app_types_balanced_00015,train,All Other App Types,Russia,Google Play,Rated for 12+,Sexual Innuendo,,
all_other_app_types_balanced_00015,train,All Other App Types,South Korea,Google Play,Rated for 12+,Sexual Innuendo,,"Games that aren't suitable for users under 19 may be removed from Google Play in South Korea, unless they're rated by GRAC."
all_other_app_types_balanced_00016,train,All Other App Types,Brazil,Classificação Indicativa (ClassInd),Rated 12+,Sexual Content,,
all_other_app_types_balanced_00016,train,All Other App Types,North America,Entertainment Software Rating Board (ESRB),Teen,Suggestive Themes,,
all_other_app_types_balanced_00016,train,All Other App Types,Europe,Pan-European Game Information (PEGI),PEGI 12,Sexual Innuendo,,
all_other_app_types_balanced_00016,train,All Other App Types,Germany,Unterhaltungssoftware Selbstkontrolle (USK),USK: Ages 6+,,,
all_other_app_types_balanced_00016,train,All Other App Types,Rest of world,IARC Generic,Rated for 12+,Sexual Innuendo,,
all_other_app_types_balanced_00016,train,All Other App Types,Russia,Google Play,Rated for 12+,Sexual Innuendo,,
all_other_app_types_balanced_00016,train,All Other App Types,South Korea,Google Play,Rated for 12+,Sexual Innuendo,,"Games that aren't suitable for users under 19 may be removed from Google Play in South Korea, unless they're rated by GRAC."
all_other_app_types_balanced_00017,train,All Other App Types,Brazil,Classificação Indicativa (ClassInd),Rated 14+,Sexual Content,,
all_other_app_types_balanced_00017,train,All Other App Types,North America,Entertainment Software Rating Board (ESRB),Mature 17+,Sexual Themes,,
all_other_app_types_balanced_00017,train,All Other App Types,Europe,Pan-European Game Information (PEGI),PEGI 16,Sex,,
all_other_app_types_balanced_00017,train,All Other App Types,Germany,Unterhaltungssoftware Selbstkontrolle (USK),USK: Ages 16+,Sexual Content,,
all_other_app_types_balanced_00017,train,All Other App Types,Rest of world,IARC Generic,Rated for 16+,Sex,,
all_other_app_types_balanced_00017,train,All Other App Types,Russia,Google Play,Rated for 16+,Sex,,
all_other_app_types_balanced_00017,train,All Other App Types,South Korea,Google Play,Rated for 16+,Sex,,"Games that aren't suitable for users under 19 may be removed from Google Play in South Korea, unless they're rated by GRAC."
all_other_app_types_balanced_00018,test,All Other App Types,Brazil,Classificação Indicativa (ClassInd),All ages,,,
all_other_app_types_balanced_00018,test,All Other App Types,North America,Entertainment Software Rating Board (ESRB),Everyone,,,
all_other_app_types_balanced_00018,test,All Other App Types,Europe,Pan-European Game Information (PEGI),PEGI 3,,,
all_other_app_types_balanced_00018,test,All Other App Types,Germany,Unterhaltungssoftware Selbstkontrolle (USK),USK: All ages,,,
all_other_app_types_balanced_00018,test,All Other App Types,Rest of world,IARC Generic,Rated for 3+,,,
all_other_app_types_balanced_00018,test,All Other App Types,Russia,Google Play,Rated for 3+,,,
all_other_app_types_balanced_00018,test,All Other App Types,South Korea,Google Play,Rated for 3+,,,"Games that aren't suitable for users under 19 may be removed from Google Play in South Korea, unless they're rated by GRAC."
all_other_app_types_balanced_00019,train,All Other App Types,Brazil,Classificação Indicativa (ClassInd),Rated 14+,Sexual Content,,
all_other_app_types_balanced_00019,train,All Other App Types,North America,Entertainment Software Rating Board (ESRB),Teen,Suggestive Themes,,
all_other_app_types_balanced_00019,train,All Other App Types,Europe,Pan-European Game Information (PEGI),PEGI 12,Sexual Innuendo,,
all_other_app_types_balanced_00019,train,All Other App Types,Germany,Unterhaltungssoftware Selbstkontrolle (USK),USK: Ages 16+,Sexual Innuendo,,
all_other_app_types_balanced_00019,train,All Other App Types,Rest of world,IARC Generic,Rated for 12+,Sexual Innuendo,,
all_other_app_types_balanced_00019,train,All Other App Types,Russia,Google Play,Rated for 12+,Sexual Innuendo,,
all_other_app_types_balanced_00019,train,All Other App Types,South Korea,Google Play,Rated for 12+,Sexual Innuendo,,"Games that aren't suitable for users under 19 may be removed from Google Play in South Korea, unless they're rated by GRAC."
all_other_app_types_balanced_00020,test,All Other App Types,Brazil,Classificação Indicativa (ClassInd),Rated 12+,Sexual Content,,
all_other_app_types_balanced_00020,test,All Other App Types,North America,Entertainment Software Rating Board (ESRB),Mature 17+,Sexual Content,,
all_other_app_types_balanced_00020,test,All Other App Types,Europe,Pan-European Game Information (PEGI),PEGI 16,Sex,,
all_other_app_types_balanced_00020,test,All Other App Types,Germany,Unterhaltungssoftware Selbstkontrolle (USK),USK: All ages,,,
all_other_app_types_balanced_00020,test,All Other App Types,Rest of world,IARC Generic,Rated for 16+,Sex,,
all_other_app_types_balanced_00020,test,All Other App Types,Russia,Google Play,Rated for 16+,Sex,,
all_other_app_types_balanced_00020,test,All Other App Types,South Korea,Google Play,Rated for 16+,Sex,,"Games that aren't suitable for users under 19 may be removed from Google Play in South Korea, unless they're rated by GRAC."
all_other_app_types_balanced_00021,train,All Other App Types,Brazil,Classificação Indicativa (ClassInd),All ages,,,
all_other_app_types_balanced_00021,train,All Other App Types,North America,Entertainment Software Rating Board (ESRB),Everyone,,,
all_other_app_types_balanced_00021,train,All Other App Types,Europe,Pan-European Game Information (PEGI),PEGI 3,,,
all_other_app_types_balanced_00021,train,All Other App Types,Germany,Unterhaltungssoftware Selbstkontrolle (USK),USK: All ages,,,
all_other_app_types_balanced_00021,train,All Other App Types,Rest of world,IARC Generic,Rated for 3+,,,
all_other_app_types_balanced_00021,train,All Other App Types,Russia,Google Play,Rated for 3+,,,
all_other_app_types_balanced_00021,train,All Other App Types,South Korea,Google Play,Rated for 3+,,,"Games that aren't suitable for users under 19 may be removed from Google Play in South Korea, unless they're rated by GRAC."
all_other_app_types_balanced_00022,test,All Other App Types,Brazil,Classificação Indicativa (ClassInd),Rated 18+,Sensitive themes,,
all_other_app_types_balanced_00022,test,All Other App Types,North America,Entertainment Software Rating Board (ESRB),Everyone 10+,Gambling Themes,,
all_other_app_types_balanced_00022,test,All Other App Types,Europe,Pan-European Game Information (PEGI),PEGI 18,Prominent Gambling Imagery,,
all_other_app_types_balanced_00022,test,All Other App Types,Germany,Unterhaltungssoftware Selbstkontrolle (USK),USK: Ages 16+,Gambling Themes,,
all_other_app_types_balanced_00022,test,All Other App Types,Rest of world,IARC Generic,Rated for 18+,Prominent Gambling Imagery,,
all_other_app_types_balanced_00022,test,All Other App Types,Russia,Google Play,Rated for 18+,Prominent Gambling Imagery,,
all_other_app_types_balanced_00022,test,All Other App Types,South Korea,Google Play,Rated for 19+,Prominent Gambling Imagery,,"Games that aren't suitable for users under 19 may be removed from Google Play in South Korea, unless they're rated by GRAC."
all_other_app_types_balanced_00023,test,All Other App Types,Brazil,Classificação Indicativa (ClassInd),All ages,,,
all_other_app_types_balanced_00023,test,All Other App Types,North America,Entertainment Software Rating Board (ESRB),Everyone,,,
all_other_app_types_balanced_00023,test,All Other App Types,Europe,Pan-European Game Information (PEGI),PEGI 3,,,
all_other_app_types_balanced_00023,test,All Other App Types,Germany,Unterhaltungssoftware Selbstkontrolle (USK),USK: Ages 16+,Gambling Themes,,
all_other_app_types_balanced_00023,test,All Other App Types,Rest of world,IARC Generic,Rated for 3+,,,
all_other_app_types_balanced_00023,test,All Other App Types,Russia,Google Play,Rated for 3+,,,
all_other_app_types_balanced_00023,test,All Other App Types,South Korea,Google Play,Rated for 3+,,,"Games that aren't suitable for users under 19 may be removed from Google Play in South Korea, unless they're rated by GRAC."
all_other_app_types_balanced_00024,train,All Other App Types,Brazil,Classificação Indicativa (ClassInd),Rated 18+,Sensitive themes,,
all_other_app_types_balanced_00024,train,All Other App Types,North America,Entertainment Software Rating Board (ESRB),Mature 17+,Cash Rewards,,
all_other_app_types_balanced_00024,train,All Other App Types,Europe,Pan-European Game Information (PEGI),PEGI 18,Cash Rewards,,
all_other_app_types_balanced_00024,train,All Other App Types,Germany,Unterhaltungssoftware Selbstkontrolle (USK),USK: Ages 18+,Gambling with Cash Payouts,,
all_other_app_types_balanced_00024,train,All Other App Types,Rest of world,IARC Generic,Rated for 18+,Cash Rewards,,
all_other_app_types_balanced_00024,train,All Other App Types,Russia,Google Play,Rated for 18+,Cash Rewards,,
all_other_app_types_balanced_00024,train,All Other App Types,South Korea,Google Play,Rated for 19+,Cash Rewards,,"Games that aren't suitable for users under 19 may be removed from Google Play in South Korea, unless they're rated by GRAC."
all_other_app_types_balanced_00025,test,All Other App Types,Brazil,Classificação Indicativa (ClassInd),All ages,Inappropriate Language,,
all_other_app_types_balanced_00025,test,All Other App Types,North America,Entertainment Software Rating Board (ESRB),Everyone,Mild Language,,
all_other_app_types_balanced_00025,test,All Other App Types,Europe,Pan-European Game Information (PEGI),PEGI 3,,,
all_other_app_types_balanced_00025,test,All Other App Types,Germany,Unterhaltungssoftware Selbstkontrolle (USK),USK: All ages,,,
all_other_app_types_balanced_00025,test,All Other App Types,Rest of world,IARC Generic,Rated for 3+,,,
all_other_app_types_balanced_00025,test,All Other App Types,Russia,Google Play,Rated for 3+,,,
all_other_app_types_balanced_00025,test,All Other App Types,South Korea,Google Play,Rated for 3+,,,"Games that aren't suitable for users under 19 may be removed from Google Play in South Korea, unless they're rated by GRAC."
all_other_app_types_balanced_00026,test,All Other App Types,Brazil,Classificação Indicativa (ClassInd),Rated 10+,Inappropriate Language,,
all_other_app_types_balanced_00026,test,All Other App Types,North America,Entertainment Software Rating Board (ESRB),Everyone 10+,Mild Language,,
all_other_app_types_balanced_00026,test,All Other App Types,Europe,Pan-European Game Information (PEGI),PEGI 3,,,
all_other_app_types_balanced_00026,test,All Other App Types,Germany,Unterhaltungssoftware Selbstkontrolle (USK),USK: All ages,,,
all_other_app_types_balanced_00026,test,All Other App Types,Rest of world,IARC Generic,Rated for 3+,,,
all_other_app_types_balanced_00026,test,All Other App Types,Russia,Google Play,Rated for 3+,,,
all_other_app_types_balanced_00026,test,All Other App Types,South Korea,Google Play,Rated for 3+,,,"Games that aren't suitable for users under 19 may be removed from Google Play in South Korea, unless they're rated by GRAC."
all_other_app_types_balanced_00030,train,All Other App Types,Brazil,Classificação Indicativa (ClassInd),All ages,,,
all_other_app_types_balanced_00030,train,All Other App Types,North America,Entertainment Software Rating Board (ESRB),Everyone,Alcohol Reference,,
all_other_app_types_balanced_00030,train,All Other App Types,Europe,Pan-European Game Information (PEGI),PEGI 3,,,
all_other_app_types_balanced_00030,train,All Other App Types,Germany,Unterhaltungssoftware Selbstkontrolle (USK),USK: All ages,,,
all_other_app_types_balanced_00030,train,All Other App Types,Rest of world,IARC Generic,Rated for 3+,,,
all_other_app_types_balanced_00030,train,All Other App Types,Russia,Google Play,Rated for 3+,,,
all_other_app_types_balanced_00030,train,All Other App Types,South Korea,Google Play,Rated for 3+,,,"Games that aren't suitable for users under 19 may be removed from Google Play in South Korea, unless they're rated by GRAC."
all_other_app_types_balanced_00031,train,All Other App Types,Brazil,Classificação Indicativa (ClassInd),Rated 10+,Legal Drugs,,
all_other_app_types_balanced_00031,train,All Other App Types,North America,Entertainment Software Rating Board (ESRB),Everyone 10+,Use of Alcohol,,
all_other_app_types_balanced_00031,train,All Other App Types,Europe,Pan-European Game Information (PEGI),PEGI 3,,,
all_other_app_types_balanced_00031,train,All Other App Types,Germany,Unterhaltungssoftware Selbstkontrolle (USK),USK: All ages,,,
all_other_app_types_balanced_00031,train,All Other App Types,Rest of world,IARC Generic,Rated for 3+,,,
all_other_app_types_balanced_00031,train,All Other App Types,Russia,Google Play,Rated for 3+,,,
all_other_app_types_balanced_00031,train,All Other App Types,South Korea,Google Play,Rated for 3+,,,"Games that aren't suitable for users under 19 may be removed from Google Play in South Korea, unless they're rated by GRAC."
all_other_app_types_balanced_00032,train,All Other App Types,Brazil,Classificação Indicativa (ClassInd),Rated 14+,Illegal Drugs,,
all_other_app_types_balanced_00032,train,All Other App Types,North America,Entertainment Software Rating Board (ESRB),Teen,Drug Reference,,
all_other_app_types_balanced_00032,train,All Other App Types,Europe,Pan-European Game Information (PEGI),PEGI 3,,,
all_other_app_types_balanced_00032,train,All Other App Types,Germany,Unterhaltungssoftware Selbstkontrolle (USK),USK: All ages,,,
all_other_app_types_balanced_00032,train,All Other App Types,Rest of world,IARC Generic,Rated for 3+,,,
all_other_app_types_balanced_00032,train,All Other App Types,Russia,Google Play,Rated for 3+,,,
all_other_app_types_balanced_00032,train,All Other App Types,South Korea,Google Play,Rated for 3+,,,"Games that aren't suitable for users under 19 may be removed from Google Play in South Korea, unless they're rated by GRAC."
all_other_app_types_balanced_00033,train,All Other App Types,Brazil,Classificação Indicativa (ClassInd),Rated 16+,Illegal Drugs,,
all_other_app_types_balanced_00033,train,All Other App Types,North America,Entertainment Software Rating Board (ESRB),Mature 17+,Use of Drugs,,
all_other_app_types_balanced_00033,train,All Other App Types,Europe,Pan-European Game Information (PEGI),PEGI 16,Drugs,,
all_other_app_types_balanced_00033,train,All Other App Types,Germany,Unterhaltungssoftware Selbstkontrolle (USK),USK: Ages 16+,Drugs,,
all_other_app_types_balanced_00033,train,All Other App Types,Rest of world,IARC Generic,Rated for 16+,Drugs,,
all_other_app_types_balanced_00033,train,All Other App Types,Russia,Google Play,Rated for 16+,Drugs,,
all_other_app_types_balanced_00033,train,All Other App Types,South Korea,Google Play,Rated for 16+,Drugs,,"Games that aren't suitable for users under 19 may be removed from Google Play in South Korea, unless they're rated by GRAC."
all_other_app_types_balanced_00034,train,All Other App Types,Brazil,Classificação Indicativa (ClassInd),All ages,,Users Interact,
all_other_app_types_balanced_00034,train,All Other App Types,North America,Entertainment Software Rating Board (ESRB),Everyone,,Users Interact,
all_other_app_types_balanced_00034,train,All Other App Types,Europe,Pan-European Game Information (PEGI),PEGI 3,,Users Interact,
all_other_app_types_balanced_00034,train,All Other App Types,Germany,Unterhaltungssoftware Selbstkontrolle (USK),USK: All ages,,Users Interact,
all_other_app_types_balanced_00034,train,All Other App Types,Rest of world,IARC Generic,Rated for 3+,,Users Interact,
all_other_app_types_balanced_00034,train,All Other App Types,Russia,Google Play,Rated for 3+,,Users Interact,
all_other_app_types_balanced_00034,train,All Other App Types,South Korea,Google Play,Rated for 3+,,Users Interact,"Games that aren't suitable for users under 19 may be removed from Google Play in South Korea, unless they're rated by GRAC."
all_other_app_types_balanced_00035,train,All Other App Types,Brazil,Classificação Indicativa (ClassInd),Rated 12+,Inappropriate Language,Users Interact,
all_other_app_types_balanced_00035,train,All Other App Types,North America,Entertainment Software Rating Board (ESRB),Teen,Diverse Content: Discretion Advised,Users Interact,
all_other_app_types_balanced_00035,train,All Other App Types,Europe,Pan-European Game Information (PEGI),Parental guidance,Parental Guidance Recommended,Users Interact,
all_other_app_types_balanced_00035,train,All Other App Types,Germany,Unterhaltungssoftware Selbstkontrolle (USK),USK: Ages 16+,Increased Communication Risks,Users Interact,
all_other_app_types_balanced_00035,train,All Other App Types,Rest of world,IARC Generic,Rated for 12+,Parental Guidance Recommended,Users Interact,
all_other_app_types_balanced_00035,train,All Other App Types,Russia,Google Play,Rated for 12+,Parental Guidance Recommended,Users Interact,
all_other_app_types_balanced_00035,train,All Other App Types,South Korea,Google Play,Rated for 12+,Parental Guidance Recommended,Users Interact,"Games that aren't suitable for users under 19 may be removed from Google Play in South Korea, unless they're rated by GRAC."
all_other_app_types_balanced_00037,train,All Other App Types,Brazil,Classificação Indicativa (ClassInd),Rated 14+,Violence Sensitive themes Inappropriate Language,Users Interact,
all_other_app_types_balanced_00037,train,All Other App Types,North America,Entertainment Software Rating Board (ESRB),Mature 17+,Diverse Content: Discretion Advised,Users Interact,
all_other_app_types_balanced_00037,train,All Other App Types,Europe,Pan-European Game Information (PEGI),PEGI 18,Extreme Violence,Users Interact,
all_other_app_types_balanced_00037,train,All Other App Types,Germany,Unterhaltungssoftware Selbstkontrolle (USK),USK: Ages 18+,Increased Communication Risks,Users Interact,
